Length		Width		Height
1/2"	,	1"	,	1/4"
5/8"	,	1"	,	1/4"
3/4"	,	1"	,	1/4"
1"	,	1"	,	1/4"
3/8"	,	1"	,	1/4"
1/2"	,	1"	,	1/4"
5/8"	,	1"	,	1/4"
3/4"	,	1"	,	1/4"
7/8"	,	1"	,	1/4"
1"	,	1"	,	1/4"
1 1/2"	,	1"	,	1/4"
3/8"	,	1 1/4"	,	5/16"
1/2"	,	1 1/4"	,	5/16"
5/8"	,	1 1/4"	,	5/16"
3/4"	,	1 1/4"	,	5/16"
7/8"	,	1 1/4"	,	5/16"
1"	,	1 1/4"	,	5/16"
1 1/4"	,	1 1/4"	,	5/16"
1 1/2"	,	1 1/4"	,	5/16"
2"	,	1 1/4"	,	5/16"
1/2"	,	1 1/2"	,	13/32"
5/8"	,	1 1/2"	,	13/32"
3/4"	,	1 1/2"	,	13/32"
7/8"	,	1 1/2"	,	13/32"
1"	,	1 1/2"	,	13/32"
1 1/4"	,	1 1/2"	,	13/32"
1 1/2"	,	1 1/2"	,	13/32"
